powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji,latitude,longitude
Wodzisławski,Rogów,Czyżowicka,9,36,18,49.99082035,18.3535814376277
Wodzisławski,Rogów,Dębowa,14,10,5,49.995402,18.3643807
Wodzisławski,Rogów,Klonowa,10,10,5,49.993466,18.3653922
Wodzisławski,Rogów,Krótka,1,4,2,49.99378255,18.3487331892941
Wodzisławski,Rogów,Krzywa,4,54,27,49.99262215,18.3515165772111
Wodzisławski,Rogów,Leśna,11,102,51,49.9897297,18.3604261393907
Wodzisławski,Rogów,Lipowa,7,42,21,49.98470965,18.3564173111933
Wodzisławski,Rogów,Palarni,3,20,10,49.98895905,18.3478860549148
Wodzisławski,Rogów,Parkowa,4,28,14,49.98804875,18.349830906673
Wodzisławski,Rogów,Polna,20,98,49,50.0005099,18.3478099736646
Wodzisławski,Rogów,Poprzeczna,8,38,19,49.98004545,18.3545479704503
Wodzisławski,Rogów,Powstańców,2,14,7,49.99162535,18.3527053953982
Wodzisławski,Rogów,Raciborska,49,274,137,49.98894325,18.3519403023019
Wodzisławski,Rogów,Rogowiec,35,196,98,49.9922261,18.34508465
Wodzisławski,Rogów,Sportowa,8,12,6,49.9904137,18.3468796
Wodzisławski,Rogów,Szkolna,0,3,1,49.9897639,18.3529832
Wodzisławski,Rogów,Słoneczna,0,2,1,50.0025291,18.3685615
Wodzisławski,Rogów,Wiejska,11,54,27,49.98827055,18.3544486392215
Wodzisławski,Rogów,Wodzisławska,11,60,30,49.99208915,18.3567963159423
Wodzisławski,Rogów,Wrzosowa,11,6,3,49.9923843,18.3676329
Wodzisławski,Rogów,Wytrzęsów,19,120,60,49.9949106,18.3499296606327
Wodzisławski,Rogów,Wyzwolenia,58,370,185,49.9945375,18.35677
Wodzisławski,Turza Śl.,27 Marca,20,106,53,49.9728185,18.454862
Wodzisławski,Turza Śl.,Bogumińska,40,228,114,49.9722418,18.4363844
Wodzisławski,Turza Śl.,Dalków,18,100,50,49.9758319,18.4395402
Wodzisławski,Turza Śl.,Graniczna,25,146,73,49.9618573,18.4622052
Wodzisławski,Turza Śl.,Kolejowa,10,78,39,49.9668356,18.4321345364884
Wodzisławski,Turza Śl.,Kosciuszki,35,202,101,49.9680785,18.4409706882972
Wodzisławski,Turza Śl.,Ligonia,14,177,59,49.9664168,18.4557258626326
Wodzisławski,Turza Śl.,Mszańska,18,184,92,49.9816811,18.4666661
Wodzisławski,Turza Śl.,Piaski,6,18,6,49.9768072,18.4606956
Wodzisławski,Turza Śl.,Polna,4,9,3,49.9749437,18.4626129
Wodzisławski,Turza Śl.,Powstańców,50,208,104,49.9708166,18.4495873
Wodzisławski,Turza Śl.,Rzeczna,6,42,14,49.9745302,18.43438
Wodzisławski,Turza Śl.,Świerkowa,23,8,4,49.9766627,18.4676326
Wodzisławski,Turza Śl.,Tysiąclecia,20,135,45,49.968616,18.4481363
Wodzisławski,Turza Śl.,Korfantego,11,34,17,49.9744152,18.4369252
Wodzisławski,Turza Śl.,Wodzisławska,20,148,74,49.9679266,18.459213
Wodzisławski,Turza Śl.,Wspólna,6,30,15,49.9746188,18.4479947619402
Wodzisławski,Turza Śl.,Zwycięstwa,23,112,56,49.9668203,18.4363491
Wodzisławski,Uchylsko,Wiejska,34,194,97,49.9455941,18.37579265
